data,titulo,link
2024-10-08 17:00:00,Pauta da 34ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/845#pesquisa
2024-10-01 08:00:00,Pauta da 2ª Sessão Extraordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/843#pesquisa
2024-09-30 14:00:00,Pauta da 33ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/841#pesquisa
2024-09-27 18:00:00,Pauta da Audiência Pública do Secretaria de Finanças e Orçamento (2° quadrimestre/2024) de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/850#pesquisa
2024-09-26 17:00:00,Pauta da Audiência Pública do Secretaria de Saúde (2° quadrimestre/2024) de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/853#pesquisa
2024-09-23 14:00:00,Pauta da 32ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/834#pesquisa
2024-09-16 14:00:00,Pauta da 31ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/830#pesquisa
2024-09-09 14:00:00,Pauta da 30ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/825#pesquisa
2024-09-02 14:00:00,Pauta da 29ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/821#pesquisa
2024-08-27 17:00:00,Pauta da 28ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/815#pesquisa
2024-08-21 11:00:00,Pauta da 15ª Reunião Ordinária de Comissão de 2024 - (COSP),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/814#pesquisa
2024-08-21 10:00:00,Pauta da 25ª Reunião Ordinária de Comissão de 2024 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/813#pesquisa
2024-08-20 17:00:00,Pauta da 27ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/812#pesquisa
2024-08-14 09:45:00,Pauta da 18ª Reunião Ordinária de Comissão de 2024 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/811#pesquisa
2024-08-12 16:00:00,Pauta da 26ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/805#pesquisa
2024-08-06 17:00:00,Pauta da 25ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/803#pesquisa
2024-07-11 17:00:00,Pauta da 24ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/800#pesquisa
2024-07-02 17:00:00,Pauta da 23ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/794#pesquisa
2024-06-24 17:00:00,Pauta da 22ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/784#pesquisa
2024-06-18 17:00:00,Pauta da 21ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/778#pesquisa
2024-06-11 17:00:00,Pauta da 20ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/773#pesquisa
2024-06-04 17:00:00,Pauta da 19ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/765#pesquisa
2024-05-28 17:00:00,Pauta da 18ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/764#pesquisa
2024-05-27 17:00:00,Pauta da Audiência Pública do Secretaria de Saúde (1° quadrimestre/2024) de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/852#pesquisa
2024-05-26 18:00:00,Pauta da Audiência Pública do Secretaria de Finanças e Orçamento (1° quadrimestre/2024) de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/849#pesquisa
2024-05-21 19:00:00,Pauta da Audiência Pública de 2024 - (CFO),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/737#pesquisa
2024-05-21 17:00:00,Pauta da 17ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/759#pesquisa
2024-05-14 17:00:00,Pauta da 16ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/756#pesquisa
2024-05-07 17:00:00,Pauta da 15ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/747#pesquisa
2024-04-30 17:00:00,Pauta da 14ª Sessão Ordinária de 2024,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/741#pesquisa
