data,titulo,imagem,link
2023-06-13 17:00:00,20ª Sessão Ordinária 2023,https://i.ytimg.com/vi/MrOtNOM49Ac/mqdefault.jpg,https://www.youtube.com/watch?v=MrOtNOM49Ac
2023-06-06 17:00:00,19ª Sessão Ordinária 2023,https://i.ytimg.com/vi/ELpW1yJw23g/mqdefault.jpg,https://www.youtube.com/watch?v=ELpW1yJw23g
2023-06-05 17:00:00,Diretrizes Orçamentárias para o exercício de 2024,https://i.ytimg.com/vi/fxC2hCUQs0s/mqdefault.jpg,https://www.youtube.com/watch?v=fxC2hCUQs0s
2023-06-02 17:00:00,Chamamento Público nº 01/2023,https://i.ytimg.com/vi/uG26LRCw-RU/mqdefault.jpg,https://www.youtube.com/watch?v=uG26LRCw-RU
2023-05-30 17:00:00,Dia do Assistente Social 2023,https://i.ytimg.com/vi/4K5L9bXx4xI/mqdefault.jpg,https://www.youtube.com/watch?v=4K5L9bXx4xI
2023-05-30 17:00:00, 18ª Sessão Ordinária 2023,https://i.ytimg.com/vi/OUQlHCmrQgw/mqdefault.jpg,https://www.youtube.com/watch?v=OUQlHCmrQgw
2023-05-30 17:00:00,Relatório Detalhado Quadrimestre Anterior (RDQA) 1º Quad 2023,https://i.ytimg.com/vi/bckzHUVHmy0/mqdefault.jpg,https://www.youtube.com/watch?v=bckzHUVHmy0
2023-05-29 17:00:00,Classificação Atividades Zoneamento Urbano de Pindamonhangaba,https://i.ytimg.com/vi/gCQD_XT5mJo/mqdefault.jpg,https://www.youtube.com/watch?v=gCQD_XT5mJo
2023-05-25 17:00:00,Prestação Contas 1º quadrimestre 2023 (Secretaria de Finanças),https://i.ytimg.com/vi/Ccv3nS6ArGY/mqdefault.jpg,https://www.youtube.com/watch?v=Ccv3nS6ArGY
2023-05-23 17:01:00,"Dia Municipal do Policial Militar, Civil e Guarda Municipal - 2023",https://i.ytimg.com/vi/YlHVc40wY6U/mqdefault.jpg,https://www.youtube.com/watch?v=YlHVc40wY6U
2023-05-23 17:00:00,17ª Sessão Ordinária 2023,https://i.ytimg.com/vi/3qw6m_c2zUk/mqdefault.jpg,https://www.youtube.com/watch?v=3qw6m_c2zUk
2023-05-16 17:00:00,Comemoração ao Centenário da Igreja Metodista em Pindamonhangaba,https://i.ytimg.com/vi/9nuD_MNSjx4/mqdefault.jpg,https://www.youtube.com/watch?v=9nuD_MNSjx4
2023-05-16 17:00:00,16ª Sessão Ordinária 2023,https://i.ytimg.com/vi/Xbc2xJO4y1o/mqdefault.jpg,https://www.youtube.com/watch?v=Xbc2xJO4y1o
2023-05-09 17:00:00,15ª Sessão Ordinária 2023,https://i.ytimg.com/vi/Vm3pHYNAczM/mqdefault.jpg,https://www.youtube.com/watch?v=Vm3pHYNAczM
2023-05-02 17:00:00,Dia Municipal do Metalúrgico e Metalúrgica 2023,https://i.ytimg.com/vi/EhzhHLlgIN4/mqdefault.jpg,https://www.youtube.com/watch?v=EhzhHLlgIN4
2023-05-02 17:00:00,14ª Sessão Ordinária 2023,https://i.ytimg.com/vi/cuEJyPlHN5s/mqdefault.jpg,https://www.youtube.com/watch?v=cuEJyPlHN5s
2023-04-25 17:00:00, Comemoração à Sociedade São Vicente de Paulo - 2023,https://i.ytimg.com/vi/tAm_rB9oOBQ/mqdefault.jpg,https://www.youtube.com/watch?v=tAm_rB9oOBQ
2023-04-25 17:00:00, 13ª Sessão Ordinária 2023,https://i.ytimg.com/vi/z-u-vaqqaCc/mqdefault.jpg,https://www.youtube.com/watch?v=z-u-vaqqaCc
2023-04-24 17:00:00,Dia do Escoteiro - 2023,https://i.ytimg.com/vi/XTbyrLMwjNo/mqdefault.jpg,https://www.youtube.com/watch?v=XTbyrLMwjNo
2023-04-18 17:00:00,12ª Sessão Ordinária 2023,https://i.ytimg.com/vi/uoZZPUfq56Q/mqdefault.jpg,https://www.youtube.com/watch?v=uoZZPUfq56Q
2023-04-11 17:00:00,11ª Sessão Ordinária 2023,https://i.ytimg.com/vi/Q_kW6KgHaDg/mqdefault.jpg,https://www.youtube.com/watch?v=Q_kW6KgHaDg
2023-04-05 17:00:00,10ª Sessão Ordinária 2023,https://i.ytimg.com/vi/GqE2AJYc4-U/mqdefault.jpg,https://www.youtube.com/watch?v=GqE2AJYc4-U
2023-03-29 17:00:00,9ª Sessão Ordinária 2023,https://i.ytimg.com/vi/wtwaI1ioD2A/mqdefault.jpg,https://www.youtube.com/watch?v=wtwaI1ioD2A
2023-03-22 17:00:00,8ª Sessão Ordinária 2023,https://i.ytimg.com/vi/gcJhrWVNwDw/mqdefault.jpg,https://www.youtube.com/watch?v=gcJhrWVNwDw
2023-03-16 17:00:00,Pregão Presencial nº 01/2023,https://i.ytimg.com/vi/ZFrdWxp6ka0/mqdefault.jpg,https://www.youtube.com/watch?v=ZFrdWxp6ka0
2023-03-14 17:00:00,7ª Sessão Ordinária 2023,https://i.ytimg.com/vi/f_RClfLQr3k/mqdefault.jpg,https://www.youtube.com/watch?v=f_RClfLQr3k
2023-03-08 17:00:00,6ª Sessão Ordinária 2023,https://i.ytimg.com/vi/3cvfTrIxEZk/mqdefault.jpg,https://www.youtube.com/watch?v=3cvfTrIxEZk
2023-03-07 17:00:00,Sessão Solene Dia Internacional da Mulher - 2023,https://i.ytimg.com/vi/N_0b4j0i2Qo/mqdefault.jpg,https://www.youtube.com/watch?v=N_0b4j0i2Qo
2023-02-28 17:00:00,Relatório Detalhado do Quadrimestre Anterior (RDQA) - 2023,https://i.ytimg.com/vi/Ewgu4dJAiQg/mqdefault.jpg,https://www.youtube.com/watch?v=Ewgu4dJAiQg
2023-02-28 17:00:00, 5ª Sessão Ordinária 2023,https://i.ytimg.com/vi/P5sKJznS9OM/mqdefault.jpg,https://www.youtube.com/watch?v=P5sKJznS9OM
2023-02-24 17:00:00,3ª Sessão Ordinária 2023,https://i.ytimg.com/vi/9aeTMf4CqSE/mqdefault.jpg,https://www.youtube.com/watch?v=9aeTMf4CqSE
2023-02-23 17:00:00,4ª Sessão Ordinária 2023,https://i.ytimg.com/vi/pF_E7PH6CfY/mqdefault.jpg,https://www.youtube.com/watch?v=pF_E7PH6CfY
2023-02-14 17:00:00, Prestação de Contas do 3° Quadrimestre 2022 (Sec. de Finanças),https://i.ytimg.com/vi/kAxi4_Vw9LM/mqdefault.jpg,https://www.youtube.com/watch?v=kAxi4_Vw9LM
2023-02-07 17:00:00,2ª Sessão Ordinária 2023,https://i.ytimg.com/vi/zktVo_Dalk8/mqdefault.jpg,https://www.youtube.com/watch?v=zktVo_Dalk8
2023-01-31 17:00:00,1ª Sessão Ordinária 2023,https://i.ytimg.com/vi/AVKoP4WHDEI/mqdefault.jpg,https://www.youtube.com/watch?v=AVKoP4WHDEI
2023-01-31 17:00:00,Sessão Solene de Posse e Transmissão de Cargo - 2023,https://i.ytimg.com/vi/OlezsYcKABY/mqdefault.jpg,https://www.youtube.com/watch?v=OlezsYcKABY
2023-01-18 17:00:00,1ª Sessão Extraordinária 2023,https://i.ytimg.com/vi/334C_7D1O_4/mqdefault.jpg,https://www.youtube.com/watch?v=334C_7D1O_4
